0,1,2,3,4,5,6,7,8,9,10,11,12
GPRMC,145016.500,A,4308.4826,N,07727.2289,W,36.54,278.84,010525,,,"A*4B
"
GPRMC,145017.000,A,4308.4834,N,07727.2357,W,36.48,278.51,010525,,,"A*4B
"
GPRMC,145017.500,A,4308.4842,N,07727.2426,W,36.55,278.03,010525,,,"A*45
"
GPRMC,145018.000,A,4308.4851,N,07727.2495,W,36.60,278.36,010525,,,"A*45
"
GPRMC,145018.500,A,4308.4859,N,07727.2564,W,36.70,278.44,010525,,,"A*43
"
GPRMC,145019.000,A,4308.4869,N,07727.2635,W,37.42,279.32,010525,,,"A*43
"
GPRMC,145019.500,A,4308.4878,N,07727.2705,W,37.51,279.40,010525,,,"A*43
"
GPRMC,145020.000,A,4308.4888,N,07727.2776,W,37.75,280.19,010525,,,"A*4B
"
GPRMC,145020.500,A,4308.4898,N,07727.2847,W,38.01,280.20,010525,,,"A*44
"
GPRMC,145021.000,A,4308.4908,N,07727.2918,W,38.04,280.29,010525,,,"A*4F
"
GPRMC,145021.500,A,4308.4918,N,07727.2989,W,38.02,280.78,010525,,,"A*41
"
GPRMC,145022.000,A,4308.4928,N,07727.3060,W,38.02,280.88,010525,,,"A*44
"
GPRMC,145022.500,A,4308.4938,N,07727.3130,W,37.56,280.71,010525,,,"A*4C
"
GPRMC,145023.000,A,4308.4948,N,07727.3200,W,37.46,280.73,010525,,,"A*4C
"
GPRMC,145023.500,A,4308.4958,N,07727.3269,W,37.19,280.65,010525,,,"A*4A
"
GPRMC,145024.000,A,4308.4968,N,07727.3338,W,36.92,280.24,010525,,,"A*49
"
GPRMC,145024.500,A,4308.4977,N,07727.3406,W,36.49,279.91,010525,,,"A*46
"
GPRMC,145025.000,A,4308.4984,N,07727.3474,W,36.39,278.96,010525,,,"A*4A
"
GPRMC,145025.500,A,4308.4991,N,07727.3541,W,35.87,278.41,010525,,,"A*40
"
GPRMC,145026.000,A,4308.4998,N,07727.3607,W,35.83,278.37,010525,,,"A*4B
"
GPRMC,145026.500,A,4308.5004,N,07727.3675,W,36.12,277.96,010525,,,"A*49
"
GPRMC,145027.000,A,4308.5010,N,07727.3743,W,36.33,277.67,010525,,,"A*41
"
GPRMC,145027.500,A,4308.5017,N,07727.3812,W,36.55,278.04,010525,,,"A*42
"
GPRMC,145028.000,A,4308.5026,N,07727.3883,W,37.06,278.71,010525,,,"A*47
"
GPRMC,145028.500,A,4308.5035,N,07727.3953,W,36.87,279.24,010525,,,"A*45
"
GPRMC,145029.000,A,4308.5043,N,07727.4023,W,36.77,279.22,010525,,,"A*40
"
GPRMC,145029.500,A,4308.5050,N,07727.4092,W,36.52,279.06,010525,,,"A*4C
"
GPRMC,145030.000,A,4308.5058,N,07727.4161,W,36.42,278.28,010525,,,"A*48
"
GPRMC,145030.500,A,4308.5067,N,07727.4230,W,36.58,278.41,010525,,,"A*42
"
GPRMC,145031.000,A,4308.5075,N,07727.4299,W,36.49,279.13,010525,,,"A*40
"
GPRMC,145031.500,A,4308.5084,N,07727.4368,W,36.46,278.92,010525,,,"A*43
"
GPRMC,145032.000,A,4308.5092,N,07727.4436,W,36.24,278.36,010525,,,"A*44
"
GPRMC,145032.500,A,4308.5100,N,07727.4503,W,35.86,278.55,010525,,,"A*42
"
GPRMC,145033.000,A,4308.5108,N,07727.4571,W,35.89,278.35,010525,,,"A*42
"
GPRMC,145033.500,A,4308.5114,N,07727.4637,W,35.65,278.34,010525,,,"A*48
"
GPRMC,145034.000,A,4308.5120,N,07727.4702,W,34.99,278.37,010525,,,"A*4B
"
GPRMC,145034.500,A,4308.5127,N,07727.4767,W,34.73,279.19,010525,,,"A*43
"
GPRMC,145035.000,A,4308.5136,N,07727.4832,W,34.79,280.07,010525,,,"A*4B
"
GPRMC,145035.500,A,4308.5145,N,07727.4898,W,34.80,279.91,010525,,,"A*45
"
GPRMC,145036.000,A,4308.5152,N,07727.4963,W,34.79,279.30,010525,,,"A*4D
"
GPRMC,145036.500,A,4308.5159,N,07727.5027,W,34.42,279.20,010525,,,"A*42
"
GPRMC,145037.000,A,4308.5167,N,07727.5090,W,34.38,279.75,010525,,,"A*4A
"
GPRMC,145037.500,A,4308.5175,N,07727.5154,W,34.37,280.20,010525,,,"A*4C
"
GPRMC,145038.000,A,4308.5184,N,07727.5216,W,34.19,280.35,010525,,,"A*45
"
GPRMC,145038.500,A,4308.5192,N,07727.5279,W,34.03,280.33,010525,,,"A*43
"
GPRMC,145039.000,A,4308.5201,N,07727.5341,W,33.66,280.84,010525,,,"A*4C
"
GPRMC,145039.500,A,4308.5211,N,07727.5403,W,33.44,281.46,010525,,,"A*46
"
GPRMC,145040.000,A,4308.5222,N,07727.5464,W,33.51,282.11,010525,,,"A*49
"
GPRMC,145040.500,A,4308.5233,N,07727.5526,W,33.79,282.95,010525,,,"A*4D
"
GPRMC,145041.000,A,4308.5244,N,07727.5588,W,33.84,283.17,010525,,,"A*44
"
GPRMC,145041.500,A,4308.5254,N,07727.5651,W,33.92,282.54,010525,,,"A*46
"
GPRMC,145042.000,A,4308.5263,N,07727.5713,W,33.72,281.35,010525,,,"A*49
"
GPRMC,145042.500,A,4308.5271,N,07727.5777,W,34.27,280.13,010525,,,"A*4F
"
GPRMC,145043.000,A,4308.5278,N,07727.5843,W,34.27,278.60,010525,,,"A*49
"
GPRMC,145043.500,A,4308.5285,N,07727.5908,W,34.52,278.20,010525,,,"A*46
"
GPRMC,145044.000,A,4308.5292,N,07727.5975,W,35.06,277.61,010525,,,"A*42
"
GPRMC,145044.500,A,4308.5300,N,07727.6041,W,34.95,278.18,010525,,,"A*4A
"
GPRMC,145045.000,A,4308.5308,N,07727.6107,W,34.66,278.01,010525,,,"A*41
"
GPRMC,145045.500,A,4308.5314,N,07727.6172,W,34.61,277.24,010525,,,"A*44
"
GPRMC,145046.000,A,4308.5320,N,07727.6237,W,34.52,276.99,010525,,,"A*40
"
GPRMC,145046.500,A,4308.5326,N,07727.6301,W,34.42,277.59,010525,,,"A*4B
"
GPRMC,145047.000,A,4308.5333,N,07727.6365,W,34.19,277.58,010525,,,"A*46
"
GPRMC,145047.500,A,4308.5339,N,07727.6429,W,34.09,277.74,010525,,,"A*49
"
GPRMC,145048.000,A,4308.5346,N,07727.6493,W,33.63,277.74,010525,,,"A*41
"
GPRMC,145048.500,A,4308.5352,N,07727.6555,W,33.36,277.78,010525,,,"A*46
"
GPRMC,145049.000,A,4308.5358,N,07727.6617,W,33.27,278.17,010525,,,"A*4B
"
GPRMC,145049.500,A,4308.5363,N,07727.6680,W,33.33,277.17,010525,,,"A*42
"
GPRMC,145050.000,A,4308.5368,N,07727.6742,W,33.14,276.62,010525,,,"A*4D
"
GPRMC,145050.500,A,4308.5373,N,07727.6803,W,32.59,276.27,010525,,,"A*41
"
GPRMC,145051.000,A,4308.5378,N,07727.6863,W,32.34,275.79,010525,,,"A*4B
"
GPRMC,145051.500,A,4308.5381,N,07727.6923,W,32.26,275.27,010525,,,"A*45
"
GPRMC,145052.000,A,4308.5384,N,07727.6983,W,31.91,274.66,010525,,,"A*47
"
GPRMC,145052.500,A,4308.5387,N,07727.7042,W,31.75,274.71,010525,,,"A*48
"
